
2025/03/07 (02:06:54) | ===> btop++ v.1.4.0
2025/03/07 (02:06:54) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/07 (02:07:45) | WARNING: Failed to join _runner thread on exit!

2025/03/07 (02:48:35) | ===> btop++ v.1.4.0
2025/03/07 (02:48:35) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/07 (02:53:38) | ===> btop++ v.1.4.0
2025/03/07 (02:53:38) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/07 (03:20:08) | ===> btop++ v.1.4.0
2025/03/07 (03:20:08) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/07 (03:28:22) | WARNING: Failed to join _runner thread on exit!

2025/03/07 (19:15:34) | ===> btop++ v.1.4.0
2025/03/07 (19:15:34) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/08 (00:54:54) | ===> btop++ v.1.4.0
2025/03/08 (00:54:54) | WARNING: Intel GPU: Failed to initialize PMU
